inj_tot_t,ev_time,ev_year,sky_nonceil_ht,sky_ceil_ht,vis_sm,wx_temp,wx_dew_pt,wind_vel_kts,gust_kts,inj_tot_f,inj_tot_s,inj_tot_m,dec_latitude,dec_longitude,total_seats,num_eng,afm_hrs_last_insp,rwy_len,acft_year,power_units
1,2330,2022,0,10000,10,73,48,8,0,0,0,0,39.7085,-77.7265,1,1,6,7000,2010,65
1,1900,2014,0,0,8,79,63,7,14,0,0,0,31.309268,-95.449516,2,1,1,2300,2013,65
1,0,2014,0,0,10,73,45,9,0,1,0,0,37.709445,-121.773056,1,1,22,5253,2013,65
2,1830,2014,3600,0,10,86,72,11,18,0,1,1,36.854721,-87.468887,2,1,22,5505,1943,75
2,1516,2018,0,0,10,75,41,3,0,0,0,0,38.376667,-120.793891,2,1,1,3401,1946,75
2,1837,2021,0,0,10,48,46,3,0,0,0,1,28.290258,-81.437787,2,1,140,5001,1946,75
1,1720,2013,25000,0,10,72,25,10,0,0,0,1,36.89611,-114.049446,2,1,42.20000076,5121,1946,75
1,1315,2014,0,0,40,81,30,5,0,0,0,0,33.474998,-111.709724,2,1,11,5101,1985,80
1,1715,2021,0,0,10,32,32,12,19,0,0,0,44.892333,-91.867806,2,1,19.5,5074,1987,80
2,1530,2015,0,0,10,81,30,7,0,0,0,0,39.01889,-110.450836,2,1,30,1500,1997,80
1,1515,2020,0,8500,10,70,66,5,0,0,0,0,30.678888,-97.68,2,1,1026,5004,1998,80
1,1755,2014,0,0,10,70,43,8,0,0,0,0,47.494998,-122.774719,2,1,22,6000,1998,80
1,1400,2016,0,0,10,79,63,7,0,0,0,0,42.908889,-77.325279,2,1,3,950,2000,80
1,2130,2013,0,10000,10,61,54,7,0,0,0,0,42.983333,-74.51667,2,1,30,2200,2001,80
1,1530,2013,3700,0,10,88,68,10,15,0,1,0,26.017778,-81.686668,2,1,3,5000,2004,80
1,1300,2014,0,0,10,39,36,3,0,1,0,0,47.695835,-114.177497,2,1,5,4195,2005,80
1,1240,2018,2800,0,10,81,75,3,0,0,0,0,26.845832,-80.222221,2,1,51,3679,2006,80
