ev_time,ev_year,ev_country,light_cond,sky_nonceil_ht,sky_ceil_ht,vis_sm,wx_temp,wx_dew_pt,wind_vel_kts,gust_kts,inj_tot_t,inj_tot_f,inj_tot_s,inj_tot_m,dec_latitude,dec_longitude,damage,acft_fire,acft_make,acft_model,total_seats,num_eng,afm_hrs_last_insp,second_pilot,rwy_len,acft_year,power_units,carb_fuel_injection,eng_type,eng_mfgr
1644,2016,USA,DAYL,25000,0,10,79,43,10,16,2,2,0,0,38.974998,-76.322219,SUBS,GRD,VANS,RV12,2,1,,N,2713,2015,100,CARB,REC,Rotax
2000,2018,USA,DAYL,25000,0,,59,23,11,18,4,0,0,0,35.136943,-90.025001,MINR,NONE,AIRBUS HELICOPTERS,EC 130,5,1,1,N,75,2015,802,,TS,Turbomeca
200,2014,USA,NITE,25000,0,20,46,43,,0,1,0,0,0,33.307777,-111.655555,,NONE,ROBINSON HELICOPTER,R22 BETA II,2,1,41,N,,2014,145,CARB,REC,Lycoming
1519,2022,USA,DAYL,25000,0,10,45,23,6,14,4,0,0,4,40.799338,-74.414889,SUBS,NONE,LEARJET INC,45,12,2,114,Y,5998,2014,,,,
2110,2015,USA,DAYL,25000,0,10,43,36,5,0,1,0,0,0,33.483612,-101.661109,SUBS,NONE,AIR TRACTOR INC,AT 602,,1,,N,4244,2013,,,TP,P&W
1700,2015,USA,DAYL,25000,25000,10,75,41,11,0,1,0,0,0,29.801111,-94.709724,SUBS,NONE,BOBBY MARTIN,AUTOGYRO MTO SPORT,2,1,,N,,2013,115,CARB,REC,Rotax
2300,2017,USA,DAYL,25000,0,10,66,36,,0,2,2,0,0,34.796665,-89.920829,DEST,GRD,Kevin Leue,Sparrow Hawk,2,1,,Y,,2013,,,REC,Subaru
1837,2018,USA,DAYL,25000,0,10,59,34,8,0,2,1,1,0,30.528055,-86.438888,SUBS,NONE,Vans,RV-12,2,1,100,Y,3300,2013,100,CARB,REC,Rotax
2320,2016,USA,DAYL,25000,0,45,75,43,4,0,3,0,0,0,33.307777,-111.655555,SUBS,NONE,CESSNA,172,4,1,,Y,9300,2012,180,FINJ,REC,LYCOMING
2256,2019,USA,DAYL,25000,0,10,66,43,5,0,3,0,0,3,29.377777,-98.476387,SUBS,NONE,Robinson,R44,4,1,1239,N,4128,2010,245,FINJ,REC,Lycoming
1415,2015,USA,DAYL,25000,0,10,73,63,10,0,4,0,0,0,29.18,-81.058052,SUBS,NONE,CESSNA,172S,4,1,33,Y,3195,2009,180,FINJ,REC,Lycoming
2037,2017,USA,DAYL,25000,0,10,70,16,9,0,1,1,0,0,35.752223,-78.86444,SUBS,NONE,JORDAN BRUCE C,PITTS S2E,2,1,4,N,2450,2009,190,FINJ,REC,Lycoming
1100,2015,USA,DAWN,25000,0,7,57,55,4,0,1,0,0,0,43.031665,-78.169723,SUBS,NONE,BRANDT LEROY E,CHALLENGER II,2,1,,N,5499,2008,50,CARB,REC,Rotax
2100,2017,USA,DAYL,25000,0,10,79,25,16,0,2,0,1,1,33.08472,-97.295829,SUBS,NONE,COOK,Smith Aviation Repli,2,1,21,N,,2008,180,CARB,REC,TMX Mattituck
2105,2017,USA,DAYL,25000,0,10,66,27,15,0,1,1,0,0,34.002498,-98.900833,SUBS,GRD,ROBINSON HELICOPTER,R22 BETA,2,1,,N,,2008,145,CARB,REC,LYCOMING
1715,2018,USA,DAYL,25000,0,10,79,25,5,0,1,0,1,0,36.271945,-115.995277,SUBS,NONE,NORTH WING UUM INC,SPORT X2-N,2,1,13,N,4081,2008,65,CARB,REC,Rotax
1830,2014,USA,DAYL,25000,0,10,77,28,12,0,2,0,0,0,36.080001,-115.152221,SUBS,NONE,EXTRA FLUGZEUGPRODUKTIONS-UND,EA 300/L,,1,22,N,8988,2007,300,FINJ,REC,LYCOMING
2330,2014,USA,DUSK,25000,0,10,75,50,8,0,2,0,1,1,36.410831,-93.181388,SUBS,NONE,HUGHES AERO CORP,PREDATOR,2,1,,N,,2007,65,CARB,REC,ROTAX
1415,2015,USA,DAYL,25000,0,10,73,63,10,0,4,0,0,0,29.18,-81.058052,SUBS,NONE,CESSNA,172S,4,1,32,Y,3195,2007,180,CARB,REC,LYCOMING
1353,2018,USA,DAYL,25000,0,10,75,66,7,0,2,2,0,0,29.158611,-81.084999,DEST,NONE,PIPER,PA28R,4,1,28,Y,3195,2007,200,FINJ,REC,Lycoming
1504,2014,USA,DAYL,25000,0,10,72,48,8,0,1,1,0,0,43.18111,-78.556945,SUBS,NONE,FLIGHT DESIGN GMBH,CT-SW 2006,2,1,,N,2530,2006,95,CARB,REC,Rotax
1815,2014,USA,DAYL,25000,0,10,72,45,12,0,2,0,0,0,39.292778,-94.442222,SUBS,NONE,ROBINSON HELICOPTER COMPANY,R44 II,4,1,42,N,,2005,245,FINJ,REC,LYCOMING
